latitude,longitude,username,tweettext
34.10165393,-118.32636446,Armando Pinedo,No sin mi #oscar #leodicaprio @ Hollywood https://t.co/Syy7Y2Qwuz
34.1026192,-118.3395081,DH Movie News,See you next year #Oscar. @ Dolby Theatre https://t.co/iy47a8dITO
34.0522,-118.243,Amberlynn Johnson,We won our #Oscar pool!!! ? @ Los Angeles, California https://t.co/Xpx0sxKHdV
-20.3189,-40.3378,Deivisson Brito,O #Oscar para o melhor Ator.... #Lula pela belíssima atuação em "A alma mais honesta do Brasil"… https://t.co/jLXKfIKld2
38.5556,-121.469,Brock Daniels,By daisyridley 
??? #oscars #oscar #leo #starwars #sw #nerdlife @ Sacramento, California https://t.co/ELl7vVd9Pc
34.0522,-118.243,Vadim Savin UNISTAR™,And Oscar goes to... ME!!!

#oscar #oscars #oscars2016 leonardodicaprio @ Los Angeles, California https://t.co/wssdm4wsdZ
34.10246896,-118.34130386,Daniele Numerato,Grows a #beard wins an #Oscar ??
Coincidenze?! Io non credo.

leonardodicaprio @somebodxy… https://t.co/dEHuB4GsQ3
34.1015338,-118.34510739,John Masters,#Oscar Hangover #hollywood @ Hollywood Blvd https://t.co/oRjJjRTCc1
34.06621709,-118.4129506,Mark Beirne,Holding my first #Oscar!! Can confirm it's heavy. Congrats to #MadMax sound mixer Ben Osmo, the… https://t.co/uVQWnQiWdd
34.10118457,-118.33858152,Billy Bennight,Barbara Eden while walking the carpet for the RNSH Oscar viewing party. #oscar #oscars… https://t.co/CLfDMFODRb
34.10118457,-118.33858152,Billy Bennight,George Chakiris and Donelle Dadigan walking the carpet for the RNSH Oscar viewing party. #oscar… https://t.co/M8JZvJpKmj
34.0522,-118.243,Rob Gaudet,When you're glad there is social media on #oscar night! @avagaudet @robgaudet @robgaudet… https://t.co/L1328t6skD
34.10170028,-118.33925043,Szénássy Szabina,and the #Oscar goes to... #bestaccountantoftheyear #oscar2016 @… https://t.co/ZaMCbwzAxg
34.10249763,-118.33931963,Jonathan Fuhrman,These great fellas sealed their #Oscar win last night with a double kiss for Academy President… https://t.co/ZloGnno2Qg
34.0522,-118.243,BEX ROX,Congratulations @serenacarmitage and #BenCleary for winning an #Oscar for the short film… https://t.co/jDFjSxXx5b
34.10165723,-118.33970206,Louis Aguirre,Big love to @eleveelifestyle & my #Insider glam squad  for my #Oscar look last night. What a… https://t.co/jqmgOVPv1r
34.09807167,-118.36813775,Whitney Lane Fern,About last night...#Oscar you so heavy! #oscars #thebigshort @ Chateau Marmont https://t.co/VcgNXv5Obt
-7.77886585,110.40851394,Alexander F. Gerrits,Finally after 25 years. Congratulations Environmentalist man, Leonardo Dicaprio ??????? #oscar… https://t.co/x3yNdgnzKp
34.18166708,-118.54457494,ezra gentle,Had an awesome #Oscar watch party with these fine Okies. Thanks for hosting @kelshightower!… https://t.co/VB87IndAVO
34.10246896,-118.34130386,a .,#LeonardoDiCaprio & Oscar 2016! 
#Oscars #movie #film #leo #oscar #best #actor #happy… https://t.co/YQJTRk1eqP
34.10170028,-118.33925043,Betty Zhou ???,#Oscar #oscars #acamedyawards #performance #movie #fiftyshadesofgrey #song #great #me #love… https://t.co/rdquQYa56J
34.06621709,-118.4129506,Tatum Miranda *Venus,Yesterday on the #redcarpet at the #Nightof100Stars #Oscar viewing party! #oscarparties… https://t.co/xHpATVoL6u
34.0401306,-118.6653976,malibugroomingco,#malibu #life #celebrity #love #oscar #grooming #surf #beach #dog @ malibu grooming company https://t.co/jfe78ShfrE
34.10049113,-118.34485841,FERNANDO RIOS,#retiran el #oscar a #leonardodicaprio por un #error del #presentador #lastimamargarito @ The… https://t.co/6kN73QO6cW
34.0522,-118.243,FabiiCamacho™? SL,Por fin un #Oscar para vos leonardodicaprio ??? @ Los Angeles,… https://t.co/29l2tiNy3O
34.10246896,-118.34130386,TO2 Uruguay,¡Al fin Leo ya tiene su #Oscar! @ Dolby Theater https://t.co/qVryBCYv4D
34.10249763,-118.33931963,Rafael D. Ortiz,Before the Oscars 
#oscar #oscars #academyawards #tuxido #redcarpet #rollroyce #la #losangeles… https://t.co/pdMjfpU8oR
-22.25,-51.3333,Renan Rufino,? 
#empreendedor #empreender #oscar #fail #no @ Regente Feijó https://t.co/EF1Ld67QZR
-19.9191,-43.9387,Joelma,Tive que salvar essa foto pra lembrar dessa rainha cantando ? #Oscar #LadyGaga #Queen #Diva… https://t.co/Xr0aXTJdgg
34.10249763,-118.33931963,OscarDoLeoDiCaprio,#FriendshipGoals #Friendship #LeonardoDiCaprio #KateWinslet #Oscar #LeonardoDiCaprioDay… https://t.co/oEKdlwmHly
34.10121712,-118.32561318,Contentmode,#actress thatoliviacheng of @netflix original series marcopolo.netflix attends #Oscar #party… https://t.co/5oE8urnjPi
34.10246896,-118.34130386,SOCii Media,CONGRATULATIONS to all of this year's #OSCAR winners!! What a great year for film! ? (Photo… https://t.co/YrztgHs4Jk
34.0522,-118.243,Bell Rocha - ?????,Ganhei ganhei.... Melhor tudo #Oscar #Oscar2016 @ Los Angeles, California https://t.co/UHKjIZ324y
34.10249763,-118.33931963,OscarDoLeoDiCaprio,Mark Rufallo nos representa.

#LeonardoDiCaprio #MarkRufallo #Oscar #BestActor #KingOfTheWorld… https://t.co/Iz0ofsi06D
34.10246896,-118.34130386,Marley_Rays,?/  29.02.2016.  /
? ??? ?????:"??, ? ?? ???? ??????!" ??
#leonardodicaprio #oscars2016 #oscar… https://t.co/9RR3Oe0n41
34.0522,-118.243,Bell Rocha - ?????,Muita emoção... Melhor tudo 
#Oscar #Oscar2016 @ Los Angeles, California https://t.co/OQACnLF4IM
-15.78843925,-47.91083134,Clube FM Brasília,??? @anadubeux ???
Glória Pires ganha Oscar de melhor... #oscars #oscar2016 #Oscar #gloriapires… https://t.co/PxZlOvGVcS
34.10246896,-118.34130386,Nass,I would like to thank... ? #LeonardoDiCaprio #leonardo #Oscar #Oscars #TheRevenant @ Dolby Theater https://t.co/eDvqUPpdiC
38.57701445,-121.50036586,Valerie Complex,Could Oscars 2016 Be The Last ‘White’ Night For The Academy? https://t.co/linoeHRfrc #Oscars #oscar #88thAcademyAwards #AcademyAwards
34.07042419,-118.35126223,Julie Smolyansky,In unity with survivors around the world for this epic moment in #Oscar history. #Repost… https://t.co/V00KUnXCAS
34.1026192,-118.3395081,Ka,Ahh, Leo! #leodicaprio #oscar #oscarwinner @ Dolby Theatre https://t.co/gfrghcRrHu
-2.5333,-44.2992,Diego Chagas,#sobreacerimônia
#oscar @ São Luís, Brazil https://t.co/aSOmfRS0AH
34.10165723,-118.33970206,The Koffa Design Grp,#charlizetheron in #Dior on this years #oscar #redcarpet #losangeles #beverlyhills #hollywood… https://t.co/bmnqK3B624
-16.78702162,-49.29640055,Michel Castro Alves,#oscarnatnt #oscar #Work #rihannawork #riri #Rihanna #navy #bey #BeyonceSoRacist #beard #beer… https://t.co/tCUOKPRXhm
-19.7525252,-45.2591878,Rodrigo Elias,Sobre o #Oscar https://t.co/9SFWdJ0ibd
-16.6667,-49.25,Elver Varjao PANDA,#gloriapires #glorianooscar #oscar #OscarNaGlobo @ Goiânia, Brazil https://t.co/X2y1u68xS5
34.1026192,-118.3395081,~ Lóren,After Oscar Show! ?? #Oscar #LosAngeles #TeamLeo #GagaYouDeserved @… https://t.co/cumS2yzL0I
